Posto,NOME,Tipo,BACIA,REGIAO,PRODUTIBILIDADE,ENA1_DIF,ENA2_DIF,ENA3_DIF,ENA4_DIF,ENA5_DIF,ENA6_DIF
204,CACHOEIRA CALDEIRAO,NAT,Araguari,Norte,0.1406,-0.14060000000000628,-0.14060000000000628,-1.1247999999999934,-0.5623999999999683,0.0,0.0
205,CORUMBA IV,NAT,Paranaíba,Sudeste,0.5836,0.0,0.0,-0.583599999999997,-0.583599999999997,-0.5836000000000006,0.0
206,MIRANDA,NAT,Paranaíba,Sudeste,0.6195,-0.6195000000000164,-0.6195000000000164,0.0,0.0,0.0,-0.619499999999988
207,CAPIM BRANCO 1,NAT,Paranaíba,Sudeste,0.5114,-0.511400000000009,0.0,0.0,0.0,0.0,-0.511400000000009
209,CORUMBA I,NAT,Paranaíba,Sudeste,0.6294,-0.629400000000004,0.0,0.0,-0.629400000000004,-0.629400000000004,0.0
211,FUNIL-GRANDE,NAT,Grande,Sudeste,0.3549,0.0,-0.35490000000000066,-0.35490000000000066,0.0,-0.35490000000000066,0.0
213,SUIÇA,NAT,Santa Maria da Vitória,Sudeste,2.1132,-2.113199999999999,-2.113200000000001,0.0,0.0,-2.113199999999999,0.0
215,BARRA GRANDE,NAT,Uruguai,Sul,1.4153,-1.415300000000002,-1.415300000000002,-15.568300000000022,0.0,-1.4152999999999452,-2.830600000000004
216,CAMPOS NOVOS,NAT,Uruguai,Sul,1.6063,0.0,3.212600000000009,1.606300000000033,-3.212600000000009,-1.606299999999976,-1.606299999999976
217,MACHADINHO,NAT,Uruguai,Sul,0.8779,-0.8778999999999826,3.511599999999987,-9.656900000000007,-7.901100000000042,-6.14530000000002,-4.389499999999998
220,MONJOLINHO,NAT,Uruguai,Sul,0.54,0.0,0.5399999999999991,0.0,0.539999999999992,0.0,0.0
222,SALTO CAXIAS,NAT,Iguaçu,Sul,0.5596,0.0,-1.1191999999998643,-4.476800000000139,19.026399999999967,0.5596000000000458,-1.6788000000000238
225,SALTO APIACÁS,NAT,Amazonas (SE),Sudeste,0.2218,0.0,0.0,0.0,-0.22179999999999822,0.0,-0.22179999999999822
226,JURUENA,NAT,Amazonas (SE),Sudeste,0.2969,-0.29690000000000083,-0.29690000000000083,0.0,0.0,0.0,-0.29690000000000083
227,SINOP,NAT,Amazonas (SE),Sudeste,0.2431,0.0,-0.24309999999999832,0.24309999999999832,0.24309999999999832,20.177300000000002,7.536099999999976
228,COLIDER,NAT,Amazonas (SE),Sudeste,0.2078,-0.2078000000000202,-0.2078000000000202,0.20779999999996335,0.2078000000000202,17.870799999999974,6.441800000000001
229,TELES PIRES,NAT,Amazonas (SE),Sudeste,0.5054,0.0,0.0,1.0108000000000175,1.5162000000000262,24.259199999999964,2.021600000000035
230,SAO MANOEL,NAT,Amazonas (SE),Sudeste,0.2267,0.0,-0.22670000000005075,0.45340000000004466,0.6800999999999817,10.654899999999998,0.6800999999999817
241,SLT VERDINHO,NAT,Paranaíba,Sudeste,0.3742,-0.37420000000000186,0.0,-0.37420000000000186,-0.37420000000000186,-0.37420000000000186,-0.37420000000000186
247,CACU,NAT,Paranaíba,Sudeste,0.243,-0.242999999999995,-0.24299999999999855,-0.2430000000000021,0.0,-0.24299999999999855,-0.2430000000000021
248,B. COQUEIROS,NAT,Paranaíba,Sudeste,0.3214,-0.321399999999997,0.0,0.0,-0.321399999999997,0.0,0.0
249,OURINHOS,NAT,Paranapanema (SE),Sudeste,0.0962,-0.0962000000000014,0.0,0.0,-0.09619999999999962,0.0,-0.09619999999999784
251,SERRA FACAO,NAT,Paranaíba,Sudeste,0.6489,0.0,0.0,0.0,0.0,0.0,-0.6488999999999976
252,ITIQUIRA II,NAT,Paraguai,Sudeste,1.2239,-1.2239000000000004,-1.2239000000000004,0.0,-1.2239000000000004,0.0,0.0
253,SÃO SALVADOR,NAT,Tocantins (SE),Sudeste,0.2149,0.0,0.0,1.9341000000000008,1.7192000000000007,1.7192000000000007,1.5043000000000006
254,PEDRA DO CAVALO,NAT,Paraguaçu,Nordeste,0.9483,-0.9482999999999961,-0.9483000000000033,0.0,-0.9483000000000015,-0.9483000000000015,0.0
255,IRAPÉ,NAT,Jequitinhonha (SE),Sudeste,1.4533,0.0,0.0,0.0,-1.4532999999999916,-1.4532999999999987,0.0
257,PEIXE ANGICAL,NAT,Tocantins (SE),Sudeste,0.2408,0.0,0.0,1.6855999999999938,1.4447999999999865,1.2040000000000077,0.9632000000000005
259,ITIQUIRA I,NAT,Paraguai,Sudeste,0.7685,-0.7685000000000031,-0.768499999999996,0.0,-0.7685000000000031,0.0,0.0
261,FOZ DO RIO CLARO,NAT,Paranaíba,Sudeste,0.2395,0.0,0.0,0.0,-0.2394999999999996,-0.2394999999999996,-0.2394999999999996
262,GUILMAN,NAT,Doce,Sudeste,1.0066,-1.0065999999999988,-1.006600000000006,0.0,0.0,-1.006600000000006,-1.006600000000006
263,PORTO ESTRELA,NAT,Doce,Sudeste,0.4593,0.0,0.0,0.0,-0.45929999999999893,-0.4593000000000025,-0.45929999999999893
269,BALBINA,NAT,Amazonas (N),Norte,0.208,0.0,-0.2079999999999984,0.0,0.0,-0.4159999999999968,-0.2079999999999984
270,SERRA DA MESA,NAT,Tocantins (SE),Sudeste,1.0404,0.0,2.080799999999954,10.403999999999996,9.363599999999963,8.323199999999986,8.323199999999986
271,ESTREITO TOC,NAT,Tocantins (N),Norte,0.211,-0.21100000000001273,5.48599999999999,20.04499999999996,18.778999999999996,17.091000000000008,15.824999999999989
273,LAJEADO,NAT,Tocantins (SE),Sudeste,0.3315,-0.33150000000000546,-0.33150000000000546,1.3260000000000218,0.9945000000000164,0.6630000000000109,0.33150000000000546
275,TUCURUI,NAT,Tocantins (N),Norte,0.5496,0.0,0.0,51.11279999999988,45.616799999999785,42.31919999999991,39.57119999999986
277,CURUA-UNA,NAT,Amazonas (N),Norte,0.1679,0.0,0.0,-0.16789999999999594,-0.5036999999999949,-0.5036999999999949,-0.335799999999999
278,MANSO,NAT,Paraguai,Sudeste,0.508,-0.5079999999999956,-0.5079999999999956,0.0,-0.5079999999999956,0.0,0.0
279,SAMUEL,NAT,Amazonas (SE),Sudeste,0.2762,0.0,0.0,0.0,0.0,10.219399999999993,14.362399999999994
280,COARACY NUNES,NAT,Araguari,Norte,0.1795,-0.1795000000000755,-0.17950000000001864,-1.4359999999999786,-0.7180000000000177,0.17950000000001864,0.0
281,P.PEDRA,NAT,Paraguai,Sudeste,2.2106,0.0,-2.2105999999999995,0.0,-2.2105999999999995,0.0,-2.2105999999999995
283,SANTA CLARA - MG,NAT,Mucuri,Sudeste,0.4495,-0.44950000000000045,0.0,-0.4494999999999969,-0.44950000000000045,0.0,0.0
284,14 DE JULHO,NAT,Jacuí,Sul,0.3016,0.0,0.0,0.9048000000000016,2.1112000000000037,1.206399999999995,1.2064000000000021
285,JIRAU,NAT,Amazonas (SE),Sudeste,0.155,0.0,-0.15499999999974534,1.8599999999996726,10.694999999999709,347.97500000000036,264.1199999999999
286,QUEBRA-QUEIXO,NAT,Uruguai,Sul,1.035,0.0,0.0,1.0350000000000037,2.0700000000000003,2.0700000000000003,1.0350000000000037
287,SANTO ANTONIO,NAT,Amazonas (SE),Sudeste,0.1589,0.0,-13.02980000000025,2.3834999999999127,11.599700000000666,361.97420000000056,274.5792000000006
288,PIMENTAL,NAT,Xingu,Norte,0.0,0.0,0.0,0.0,0.0,0.0,0.0
290,SANTO ANTONIO DO JARI,NAT,Amazonas (N),Norte,0.2315,0.0,-0.23149999999998272,-2.083499999999958,-2.3150000000000546,6.481999999999971,-21.06650000000002
291,DARDANELOS,NAT,Amazonas (SE),Sudeste,0.8689,0.0,0.0,0.8688999999999965,0.8688999999999965,39.10050000000001,26.067000000000007
292,BELO MONTE ART,ART,Xingu,Norte,0.8185,0.0,0.0,3.274000000000342,15.551500000000487,1140.1705000000002,1267.8564999999994
294,SALTO,NAT,Paranaíba,Sudeste,0.4502,-0.4502000000000024,0.0,0.0,0.0,-0.4502000000000024,-0.4502000000000024
295,JAURU,NAT,Paraguai,Sudeste,0.9297,-0.9296999999999969,0.0,-0.9296999999999969,-0.9297000000000111,0.0,-0.9296999999999969
296,GUAPORÉ,NAT,Amazonas (SE),Sudeste,1.5452,0.0,0.0,0.0,0.0,1.5452000000000012,0.0
297,FERREIRA GOMES,NAT,Araguari,Norte,0.1499,0.0,-0.14990000000000236,-1.199200000000019,-0.7495000000000118,0.14990000000000236,0.0
299,ILHA POMBOS,ART,Paraíba do Sul,Sudeste,0.2702,10.085570526315799,5.150865263157897,-2.8029694736842146,-2.6337389473684283,-3.073169473684203,-2.2625694736842163
302,PIMENTAL_ART,ART,Xingu,Norte,0.114,0.0,0.0,0.0,0.0,0.0,0.0
303,FONTES,ART,Paraíba do Sul,Sudeste,2.7014,-2.7013999999999996,-2.701400000000003,-2.7013999999999996,-2.7013999999999996,-2.7013999999999996,-5.402799999999999
306,PEREIRA PASSOS,ART,Paraíba do Sul,Sudeste,0.3233,-12.067597894736835,-11.012618947368424,-0.8490878947368401,-0.40497578947368496,-0.2024878947368407,-0.8490878947368472
318,H.BORDEN,ART,Alto Tietê,Sudeste,5.6808,-5.112720000000024,-5.6807999999999765,-18.746639999999985,-6.816959999999995,-18.178560000000004,-12.49776
