Posto,NOME,PRODUTIBILIDADE,Tipo,S1,S2,S3,S4,S5,S6,ENA1,ENA2,ENA3,ENA4,ENA5,ENA6,BACIA,REGIAO
243,,,NAT,468,443,419,475,409,460,,,,,,,Tietê,Sudeste
244,,,NAT,4156,3737,3446,3379,3207,3177,,,,,,,Alto Paraná,Sudeste
245,,,NAT,4460,4020,3705,3638,3459,3420,,,,,,,Alto Paraná,Sudeste
246,,,NAT,5243,4735,4486,4460,4168,4028,,,,,,,Baixo Paraná,Sudeste
247,CACU,0.243,NAT,133,118,113,110,106,104,32.319,28.674,27.459,26.73,25.758,25.272,Paranaíba,Sudeste
248,B. COQUEIROS,0.3214,NAT,139,123,117,115,111,108,44.674600000000005,39.5322,37.6038,36.961000000000006,35.6754,34.711200000000005,Paranaíba,Sudeste
249,OURINHOS,0.0962,NAT,104,156,467,359,202,237,10.0048,15.0072,44.925399999999996,34.535799999999995,19.432399999999998,22.7994,Paranapanema (SE),Sudeste
251,SERRA FACAO,0.6489,NAT,101,91,84,80,75,71,65.5389,59.0499,54.507600000000004,51.912000000000006,48.667500000000004,46.0719,Paranaíba,Sudeste
252,ITIQUIRA II,1.2239,NAT,60,57,53,52,50,50,73.434,69.7623,64.8667,63.6428,61.195,61.195,Paraguai,Sudeste
253,SÃO SALVADOR,0.2149,NAT,608,493,430,428,395,369,130.6592,105.9457,92.407,91.9772,84.88550000000001,79.2981,Tocantins (SE),Sudeste
254,PEDRA DO CAVALO,0.9483,NAT,43,39,32,20,19,19,40.776900000000005,36.9837,30.3456,18.966,18.0177,18.0177,Paraguaçu,Nordeste
255,IRAPÉ,1.4533,NAT,51,43,39,38,35,34,74.1183,62.4919,56.6787,55.2254,50.865500000000004,49.4122,Jequitinhonha (SE),Sudeste
257,PEIXE ANGICAL,0.2408,NAT,1108,856,751,709,649,602,266.8064,206.1248,180.8408,170.72719999999998,156.2792,144.9616,Tocantins (SE),Sudeste
258,,,,,,,,,,,,,,,,Jequitinhonha (NE),Sudeste
259,ITIQUIRA I,0.7685,NAT,60,57,53,52,50,50,46.11,43.8045,40.7305,39.961999999999996,38.425,38.425,Paraguai,Sudeste
260,,,NAT,82,75,71,71,70,69,,,,,,,Paranaíba,Sudeste
